ko	en
아마 51세와 53세 사이일 거예요.	Probably between 51 and 53.
그것은 시도할 가치도 없는 일이에요.	It's not worth trying.
현장 견학 후 초고층 건물에 대해 새롭게 배운 것이 있나요? 	After this field trip is there anything new you've learnt about skyscrapers?
그들은 고등학생인 두 딸이 있어요.	They have two daughters who are in high school.
저는 그 사람하고 사이가 안 좋아요.	I'm at odds with the man. 
내가 말을 할 때 당신은 한 번도 들어 주지 않았어.	You’ve never listened to me when I talk.
다들 헷갈렸던 서술형 문제 말고는 모두 답을 맞힌 것 같았어.	Except for the descriptive problem that everyone struggled, I think I got everything right.
Anne은 여름 휴가를 어떻게 보낼 것인가요?	What is Anne's plan for the summer vacation?
그것만 고려하는 것으로도 충분해요.	It's enough to just consider it.
주인공 김수현은 부대장에 맞서기 위해 다른 간첩들과 모여.	Soo-hyun Kim, the main character gathers with other spies to stand up to the commander.
나는 8월에 시험을 볼 계획이에요.	I plan to take an exam in August.
그것을 수정해서 원하는 버스트 구조로 만들 수 있나요	Could you edit that and make it into the bust structure that I want?
그곳을 방문하는 길이 너무 힘들었어요.	It's been hard to go there.
당신의 말 한마디로 큰 힘이 돼요.	Your single word gives me power.
이 디자인으로 제작한다면 PCS(전력변화 장치) 당 가격이 어떻게 돼요?	If we go through with this design, how much will it cost per PCS?
아침을 잃는 대신 근사한 새벽을 얻는다.	You lose your morning and gain wonderful dawn.
당신의 성실하고 빠른 답변을 바라요.	I want your fast and sincere response.
어떤 신용카드를 쓸 수 있나요?	Which credit card can I use?
이것은 전체적으로 어두운 느낌이에요.	It's generally dark.
그러면 그곳의 모습이 보일 거예요.	Then you'll see the figure of the place.
무심코 발견한 유물이 유네스코 문화유산으로 이어질 수 있습니다.	A relic that is founded unexpectedly can become a UNESCO heritage.
답장을 가능한 빨리해주면 고마울 거예요.	I will be grateful if you send the answer as soon as possible.
네, 남은 하루가 더 낫기를 바랄게요.	Yes, I hope the rest of your day would be better.
거의 모든 한국 사람들은 언젠가는 휴전선이 사라지기를 바랍니다.	Almost all South Korean hope that the Military Demarcation Line will be removed one day.
상담 가능 시간을 설정할 수 있습니다.	You can set up the counseling time.
영국의 2층 버스 타보고 싶어요.	I want to ride in double-decker buses in England.
나는 특성화 고등학교에 다니고 있었거든.	I was attending a specialized high school.
친구로 추가해 주세요 그래야 사진을. 보낼 수 있습니다.	It is to inform you about the quantity that additionally needs to be ordered.
규칙을 위반한 것이 새로운 규칙을 만들어 낸 셈입니다.	It's like breaking the rules has created new rules. 
대구가톨릭대학교 학생 50명을 대상으로 설문을 진행하였습니다.	We surveyed 50 students from Daegu Catholic University.
그녀는 중요한 순간까지 아무 얘기를 하지 않았어요.	She did not say anything until the important moment.
그들은 유효한지 아닌지를 말해 줘요.	They tell me whether it's valid or not.
그는 아마 30살 미만인 것 같아요.	He seems to be under 30.
당신의 불면증은 나한테 큰 문제예요.	Your Insomnia is a big problem for me.
나는 Teddy Sanders와 비슷한 것 같아.	I think I'm similar to Teddy Sanders.
무슨 일을 하시려고 그러세요, 주디?	What are you going to do, Judy?
나는 일을 하므로 밤 10시에 만날 수 있어.	Because I am working, I can meet you at 10.
나는 무슨 행동을 하고 있지 않았어.	I wasn't doing anything.
우울한 날씨 때문에 저는 침울해져요.	Gloomy weather gets me down.
나는 빨리하는 것보다 제대로 하는 것을 좋아해요.	I like doing work well rather than doing it fast.
점심을 먹은 후, 자기 생각을 발표하는 시간을 가졌어요.	After lunch, we spent some time presenting what we had in mind.
얼마를 보증해 주면 한국에 와서 아이들을 가르킬 수 있겠는가?	I would appreciate if you understand that I sent you a modified version.
한 예로 시험 기간에 열람실 자리 경쟁은 치열합니다.	For example, there is keen competition for a seat in the library during the exam period.
너의 모든 힘든 일을 이겨 내길 바라.	I hope you overcome all the difficulties.
저는 행복한 가정에서 자라서 성격이 밝습니다.	I grew up in a happy family, so I am cheerful.
밥을 먹은 후에 커피를 마시면 입안이 개운해져요.	Having a coffee after a meal leaves a refreshing feeling in your mouth.
아니요, 오후에 그 박물관에 갔어요.	No, it was in the afternoon that I visited the Museum.
모든 걸 당신이 원하는 대로 하면서.	You do everything in your way.
뿌리 채 뽑힌 나무가 다시 살아났다니 신기하네요.	It's amazing to see a tree that had been uprooted completely still going strong.
나는 아빠한테 답장하라고 얘기했어요.	I told dad to send a reply.
한국에는 예비군 제도가 있어요.	South Korea has a reserve army system.
무슬림은 이슬람을 믿는 사람들입니다.	Muslims are people who believe in Islam.
 이것이 마지막이란 느낌이에요.	And it feels like this is the last time.
이 앱을 통해 한 명이라도 정보를 얻을 수 있었으면 좋겠습니다.	I can help you if you need any help with Korean.
방문을 요청한 이유는 하고 싶은 이야기가 있기 때문이에요.	The reason I requested to visit is that I have something to tell you.
헵번 재단이 승인한 카페 겸 갤러리.	A gallery as well as a cafe, approved by the Hepburn Foundation.
하지만 나는 나중에 뿌듯할 거예요.	But I will be proud later.
난 아직 컴퓨터로 공부를 못 해.	I cannot study with the computer yet.
이 드라마는 인기가 많아서 사람 들이 패러디도 했었죠.	The popularity of this drama brought about plenty of parody versions.
미안하지만 한 번만 더 확인할게요. 강의실을 오늘만 사용하는 건가요?	I'm sorry but I want to make sure that you're using the lecture room only for today?
나는 어제 오랜 친구들과 함께 행복한 시간을 보냈어.	I had a good time with my old friends yesterday.
시험 끝난 후에  본격적으로 사귀자고 했잖아.	We said we'd start officially going out after exams.
첫 번째로 회사원 친구는 고등학교를 실업계에 졸업했어요.	First off, my friend at work graduate from a blue-collar skill highschool.
오늘 마스터 클래스를 녹화해도 될까요?	Can I videotape today's master class?
적어도 최소한의 노력은 기울여야 한다는 것이죠.	At least we need to put minimal effort into it.
개구리로 변한 그는 사람들로부터 괴롭힘을 당했어요.	He turned into a frog and was bullied by people.
포기한다는 말 죽기보다 싫어해.	I'd die rather than give up.
갈추어탕, 추어통탕 등을 팔아요.	We serve #갈추어탕#, #추어통탕#, etc.
그가 내 전화를 빌려서 당신에게 전화한 거였어.	He borrowed my phone and called you.
그리고 그러한 교사가 되기 위해 노력할 것입니다.	And I will try to become that kind of teacher.
그것은 소프트웨어를 담는 그릇이에요.	It is a container to hold the software.
이 가게는 일본제품들로 가득 찼어요.	This shop is full of Japanese products.
당신과 불편하게 지내고 싶지 않아요.	I do not want to be uncomfortable with you.
아니요, 전혀 좋아지고 있지 않아요.	No, it doesn't get better.
부모님께서 당신의 학교 성적을 매우 자랑스러워하시겠어요.	Your parents must be very proud of your fine work in school.
나는 항상 한결같은 사람을 좋아해요.	I like someone who is always consistent.
우리는 회의에서 이것에 대한 해결 방안을 토론했습니다.	We discussed a solution at our meeting.
너와 함께 종일 지낼 생각을 하니까 매우 기분이 좋다.	I am very happy thinking that I will be with you all day long.
온라인 글로벌판매자 IT플랫폼 지원사업입니다.	This is the IT platform support project for online global sales.
현미경을 통해 박테리아의 색을 관찰할 수 있었다.	I'm going to marry Kwon Ji Yong after becoming pretty and slim.
당신의 코멘트대로 체크해 볼게요.	I will check according to your comments.
당신은 하나도 즐길 줄을 모르는군요.	You don't know how to enjoy it.
